name	NC3
ENSG00000267898	0.120260869
ENSG00000267890	0.098927636
ENSG00000267892	0.936055799
ENSG00000261723	0.090723111
ENSG00000261727	0
ENSG00000275665	0
ENSG00000128159	9.210537343
ENSG00000164758	11.65319466
ENSG00000164756	0
ENSG00000164754	57.36109376
ENSG00000283406	0.131370418
ENSG00000164751	8.436920723
ENSG00000178233	0.093781007
ENSG00000178234	5.856349102
ENSG00000178235	0.383680609
ENSG00000170425	12.04117251
ENSG00000170426	0.0644571
ENSG00000170421	35.81148805
ENSG00000174963	0.013278102
ENSG00000131242	3.191208888
ENSG00000261499	0.925329132
ENSG00000186081	0.013253353
ENSG00000261490	0.081030471
ENSG00000265933	0
ENSG00000265939	0.223072121
ENSG00000283409	0
ENSG00000111961	0.980132015
ENSG00000264049	2.809056339
ENSG00000105576	20.95192758
ENSG00000264041	0
ENSG00000111669	541.5088132
ENSG00000170791	3.064294496
ENSG00000109016	2.452224101
ENSG00000198924	3.351173679
ENSG00000172867	0
ENSG00000172869	1.862847888
ENSG00000259726	0.046340848
ENSG00000126070	1.419597787
ENSG00000167799	7.288787033
ENSG00000176974	9.882912986
ENSG00000254101	0
ENSG00000007923	7.542672722
ENSG00000240673	0.227079405
ENSG00000259727	0
ENSG00000164329	6.217102633
ENSG00000167798	0.011470738
ENSG00000205740	0.045836737
ENSG00000227910	0.064935378
ENSG00000172232	2.647964914
ENSG00000173889	1.781913657
ENSG00000172795	5.036103643
ENSG00000172794	0.728699331
ENSG00000179674	0
ENSG00000179673	0.312260151
ENSG00000171444	0.291139633
ENSG00000124313	2.632806451
ENSG00000104626	2.922122507
ENSG00000171443	11.16754806
ENSG00000171448	1.322584761
ENSG00000239825	0
ENSG00000108055	11.82908409
ENSG00000236833	0.038669878
ENSG00000167077	0.031642902
ENSG00000167074	5.404826958
ENSG00000225706	0
ENSG00000198513	0.952405398
ENSG00000215223	0.039834307
ENSG00000178796	0
ENSG00000178795	0
ENSG00000069849	62.91514362
ENSG00000186446	0
ENSG00000224699	0.163959565
ENSG00000186442	0
ENSG00000223404	0
ENSG00000136160	0
ENSG00000136161	1.219502879
ENSG00000235138	0.080800271
ENSG00000186448	0.672479868
ENSG00000136169	1.022163358
ENSG00000172137	0.801644968
ENSG00000276102	0
ENSG00000220583	0
ENSG00000172139	0
