name	NC2
ENSG00000267898	0
ENSG00000267890	0
ENSG00000267892	0.292428441
ENSG00000261723	0.092112627
ENSG00000261727	0
ENSG00000275665	0
ENSG00000128159	3.973493624
ENSG00000164758	4.973314255
ENSG00000164756	0
ENSG00000164754	78.44255979
ENSG00000283406	0
ENSG00000164751	8.008237315
ENSG00000178233	0.074057945
ENSG00000178234	7.387299433
ENSG00000178235	0.12243222
ENSG00000170425	14.71599418
ENSG00000170426	0
ENSG00000170421	49.97398496
ENSG00000174963	0.006740735
ENSG00000131242	1.535567732
ENSG00000261499	1.483423386
ENSG00000186081	0
ENSG00000261490	0.26326891
ENSG00000265933	0
ENSG00000265939	0.679466084
ENSG00000283409	0
ENSG00000111961	1.124719727
ENSG00000264049	4.278119789
ENSG00000105576	19.37478834
ENSG00000264041	0
ENSG00000111669	251.745959
ENSG00000170791	2.530333551
ENSG00000109016	1.635547419
ENSG00000198924	10.1321687
ENSG00000172867	0
ENSG00000172869	3.651881859
ENSG00000259726	0.047050605
ENSG00000126070	2.153821096
ENSG00000167799	1.33129287
ENSG00000176974	6.686875739
ENSG00000254101	0
ENSG00000007923	16.75940592
ENSG00000240673	0
ENSG00000259727	0.047146626
ENSG00000164329	7.48670963
ENSG00000167798	0
ENSG00000205740	0.116346932
ENSG00000227910	0.065929928
ENSG00000172232	0.226742748
ENSG00000173889	3.901739311
ENSG00000172795	6.140527077
ENSG00000172794	0.204884334
ENSG00000179674	0.044632625
ENSG00000179673	0.052840455
ENSG00000171444	0.080617835
ENSG00000124313	1.446842926
ENSG00000104626	5.562895779
ENSG00000171443	3.524730311
ENSG00000171448	2.959224732
ENSG00000239825	0
ENSG00000108055	30.42418662
ENSG00000236833	0
ENSG00000167077	0.010709182
ENSG00000167074	4.924147634
ENSG00000225706	0.046314849
ENSG00000198513	1.947231358
ENSG00000215223	0
ENSG00000178796	0.025543838
ENSG00000178795	0
ENSG00000069849	69.84643134
ENSG00000186446	0
ENSG00000224699	0.193320894
ENSG00000186442	0
ENSG00000223404	0
ENSG00000136160	0
ENSG00000136161	2.737031222
ENSG00000235138	0.218767489
ENSG00000186448	0.751057531
ENSG00000136169	1.686455577
ENSG00000172137	0.406961483
ENSG00000276102	0.946797002
ENSG00000220583	0
ENSG00000172139	0
ENSG00000228755	0
ENSG00000228750	0
