name	Fis2
ENSG00000267898	0.533706826
ENSG00000267890	0
ENSG00000267892	0.035505391
ENSG00000261723	0.08947132
ENSG00000261727	0
ENSG00000275665	0
ENSG00000128159	4.764251781
ENSG00000164758	10.67430125
ENSG00000164756	0
ENSG00000164754	61.86057456
ENSG00000283406	0.043185926
ENSG00000164751	7.417332665
ENSG00000178233	0.051381679
ENSG00000178234	5.61999615
ENSG00000178235	0.032433138
ENSG00000170425	13.0845229
ENSG00000170426	0.063567725
ENSG00000170421	19.32182627
ENSG00000174963	0
ENSG00000131242	2.275594808
ENSG00000261499	1.104679712
ENSG00000186081	0
ENSG00000261490	0.191789803
ENSG00000265933	0.011528672
ENSG00000265939	2.74992733
ENSG00000283409	1.771532132
ENSG00000111961	1.958388523
ENSG00000264049	4.155445742
ENSG00000105576	20.3834989
ENSG00000264041	0
ENSG00000111669	187.8884792
ENSG00000170791	6.063153786
ENSG00000109016	4.168937449
ENSG00000198924	13.79291811
ENSG00000172867	0.044487326
ENSG00000172869	3.571769646
ENSG00000259726	0.09140288
ENSG00000126070	3.401918891
ENSG00000167799	1.977710448
ENSG00000176974	5.000403499
ENSG00000254101	0.041462319
ENSG00000007923	15.04274629
ENSG00000240673	0
ENSG00000259727	0.045794708
ENSG00000164329	6.640565255
ENSG00000167798	0
ENSG00000205740	0.158214997
ENSG00000227910	0.384236421
ENSG00000172232	0.346092929
ENSG00000173889	5.590289056
ENSG00000172795	11.69212394
ENSG00000172794	0.497523313
ENSG00000179674	0.173411182
ENSG00000179673	0
ENSG00000171444	0.360208236
ENSG00000124313	1.735270725
ENSG00000104626	6.826710746
ENSG00000171443	4.124890994
ENSG00000171448	3.79223563
ENSG00000239825	0
ENSG00000108055	28.08206491
ENSG00000236833	0.076272627
ENSG00000167077	0.114423084
ENSG00000167074	4.521195474
ENSG00000225706	0.022493391
ENSG00000198513	0.823464477
ENSG00000215223	0
ENSG00000178796	0.198490995
ENSG00000178795	0.035193549
ENSG00000069849	93.39621609
ENSG00000186446	0.057389788
ENSG00000224699	0.260802034
ENSG00000186442	0.072572468
ENSG00000223404	0
ENSG00000136160	0
ENSG00000136161	2.658547516
ENSG00000235138	0.053123596
ENSG00000186448	1.832092858
ENSG00000136169	3.259392752
ENSG00000172137	0.197645981
ENSG00000276102	0.919647828
ENSG00000220583	0
ENSG00000172139	0
ENSG00000228755	0
ENSG00000228750	0
ENSG00000232101	0
ENSG00000113368	19.68775388
ENSG00000221184	8.096693251
ENSG00000180846	0.041677948
ENSG00000184178	2.888589285
ENSG00000214174	4.885718478
ENSG00000234667	0
ENSG00000214176	1.391036566
ENSG00000225521	0
ENSG00000225527	0
ENSG00000225526	0.15335844
ENSG00000129007	0.022270154
ENSG00000129003	3.26394597
ENSG00000215883	2.067713675
ENSG00000129009	0.126016887
ENSG00000221634	0.675885753
ENSG00000229409	2.770297162
ENSG00000229404	0.526106278
ENSG00000229407	0.280025878
ENSG00000262227	1.018121915
ENSG00000206527	25.54888567
ENSG00000239265	0
ENSG00000239264	0.063937221
ENSG00000146540	21.86948859
ENSG00000274114	0.067572293
ENSG00000277420	0
ENSG00000269916	0
ENSG00000269915	0.105448341
ENSG00000169116	0.111439248
ENSG00000241484	0.056210939
ENSG00000241489	0.22025996
ENSG00000269918	0.362105625
ENSG00000157240	2.634527536
ENSG00000124459	8.836825433
ENSG00000254733	0
ENSG00000254731	0.259715359
ENSG00000058063	19.12449461
ENSG00000088305	7.487879877
ENSG00000183397	2.913127765
ENSG00000183396	0
ENSG00000278727	0.015648122
ENSG00000013364	3.918948708
ENSG00000262339	0
ENSG00000268357	0.150802466
ENSG00000218537	1.064199519
ENSG00000268350	0.458432195
ENSG00000151948	0
ENSG00000183647	3.856144361
ENSG00000122859	0.163077086
ENSG00000183648	6.494834994
ENSG00000232467	0
ENSG00000100330	0.475843226
ENSG00000232460	0.110866635
ENSG00000100335	19.71430364
ENSG00000253704	0.470362081
ENSG00000247556	9.58805247
ENSG00000086062	32.38169885
ENSG00000086061	168.3366504
ENSG00000123106	2.16651209
ENSG00000266589	0.728552176
ENSG00000086065	61.28586998
ENSG00000052344	0.055912144
ENSG00000197748	0.265499665
ENSG00000198939	0.446069242
ENSG00000198938	2292.669133
ENSG00000184508	0.882593714
ENSG00000198934	2.611749163
ENSG00000198937	35.97917844
ENSG00000197747	121.4316582
ENSG00000198930	0.051372269
ENSG00000197744	1.372440796
ENSG00000168398	0
ENSG00000168393	42.45726234
ENSG00000168397	15.77823625
ENSG00000168394	14.05526422
ENSG00000106537	22.85308313
ENSG00000248659	0
ENSG00000274805	1.558292153
ENSG00000264044	0.148114898
ENSG00000246889	0.637897373
ENSG00000182118	0.749854871
ENSG00000184502	0.238717096
ENSG00000007080	45.14916832
ENSG00000182111	0.539720199
ENSG00000166068	8.890188794
ENSG00000103269	1.429261593
ENSG00000238009	0.015055963
ENSG00000000003	8.028211218
ENSG00000158163	1.734661791
ENSG00000272406	0
ENSG00000158161	5.598602628
ENSG00000260805	0.059082167
ENSG00000000005	0
ENSG00000158169	4.46210836
ENSG00000276988	0.222613165
ENSG00000115257	0.887634771
ENSG00000115255	3.733792714
ENSG00000115252	0.00887354
ENSG00000127774	0.072949958
ENSG00000163701	0.10797405
ENSG00000163702	4.213567065
ENSG00000163703	5.078267071
ENSG00000163704	1.167829002
ENSG00000163705	0.118413757
ENSG00000189129	0.18096296
ENSG00000170633	12.91014834
ENSG00000189120	1.142620112
ENSG00000189127	0.404288521
ENSG00000249019	0
ENSG00000249012	0
ENSG00000249014	0.147240203
ENSG00000129451	0.101917888
ENSG00000205293	0.026599582
ENSG00000273812	0
ENSG00000125734	11.26160716
ENSG00000125733	17.41279951
ENSG00000125731	0.314057481
ENSG00000125730	0.148194931
ENSG00000155530	0.293528716
ENSG00000271976	0.847015944
ENSG00000271971	1.371974613
ENSG00000271970	0.102369558
ENSG00000271973	1.206419732
ENSG00000271978	0.119978498
ENSG00000267761	0.040156419
ENSG00000267767	0.024756627
ENSG00000213519	0.196148663
ENSG00000230359	0.528444141
ENSG00000213516	6.881359335
ENSG00000267769	0.219994186
ENSG00000213514	0.030233639
ENSG00000213513	0.145710435
ENSG00000197915	0.069955545
ENSG00000199377	0.479474509
ENSG00000040608	5.443521916
ENSG00000161542	14.50363747
ENSG00000161544	0.07609158
ENSG00000244559	0
ENSG00000161547	41.6136832
ENSG00000244556	0.205363701
ENSG00000144591	11.59425475
ENSG00000144596	0.094402217
ENSG00000144597	12.04288827
ENSG00000230510	0.059020008
ENSG00000204231	17.2445698
ENSG00000204237	9.151070671
ENSG00000070010	6.081192319
