name	NC1
ENSG00000267898	0.060896252
ENSG00000267890	0
ENSG00000267892	0.218764005
ENSG00000261723	0.091878556
ENSG00000261727	0
ENSG00000275665	0.10232301
ENSG00000128159	4.218132674
ENSG00000164758	5.640769094
ENSG00000164756	0
ENSG00000164754	67.27428883
ENSG00000283406	0
ENSG00000164751	7.871952759
ENSG00000178233	0.137186684
ENSG00000178234	7.549094385
ENSG00000178235	0.166528776
ENSG00000170425	13.91079515
ENSG00000170426	0
ENSG00000170421	46.98376397
ENSG00000174963	0.006723606
ENSG00000131242	1.606563714
ENSG00000261499	1.578297386
ENSG00000186081	0
ENSG00000261490	0.19694993
ENSG00000265933	0
ENSG00000265939	1.016609198
ENSG00000283409	0
ENSG00000111961	0.92540662
ENSG00000264049	1.422416162
ENSG00000105576	17.22744492
ENSG00000264041	0
ENSG00000111669	296.1257088
ENSG00000170791	2.592648075
ENSG00000109016	1.724910509
ENSG00000198924	8.115193427
ENSG00000172867	0
ENSG00000172869	3.352035983
ENSG00000259726	0.093862085
ENSG00000126070	1.916903607
ENSG00000167799	2.343370356
ENSG00000176974	7.041751212
ENSG00000254101	0
ENSG00000007923	14.67679946
ENSG00000240673	0
ENSG00000259727	0.04702682
ENSG00000164329	7.112080812
ENSG00000167798	0
ENSG00000205740	0.174076918
ENSG00000227910	0.263049564
ENSG00000172232	0.226166563
ENSG00000173889	3.810106346
ENSG00000172795	5.725471629
ENSG00000172794	0.215717232
ENSG00000179674	0.267115245
ENSG00000179673	0.05270618
ENSG00000171444	0.182269408
ENSG00000124313	1.645561568
ENSG00000104626	4.817947431
ENSG00000171443	4.024078077
ENSG00000171448	2.691260375
ENSG00000239825	0
ENSG00000108055	29.88870677
ENSG00000236833	0
ENSG00000167077	0.053409841
ENSG00000167074	5.82798444
ENSG00000225706	0
ENSG00000198513	1.466621986
ENSG00000215223	0
ENSG00000178796	0.025478927
ENSG00000178795	0
ENSG00000069849	62.37878371
ENSG00000186446	0
ENSG00000224699	0.155334987
ENSG00000186442	0
